,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,average_speed,max_speed
0,8668446812,Night Run,2023-03-05,Run,5006.0,1630,1636,,3.071,5.62
1,8664515763,Lunch Run,2023-03-04,Run,5002.9,1817,1820,,2.753,3.82
2,8643841245,Evening Run,2023-03-01,Run,4010.4,1353,1359,,2.964,6.96
3,8643841331,Evening Workout,2023-02-22,Workout,0.0,2539,2539,,0.0,0.0
4,8643841355,Afternoon Run,2023-02-20,Run,3005.1,939,942,,3.2,5.96
5,8514490323,Lunch Run,2023-02-05,Run,5006.8,1647,1650,,3.04,3.7
6,8466816759,Afternoon Run,2023-01-28,Run,5007.7,1635,1641,,3.063,4.34
7,8349152214,Morning Run,2022-12-27,Run,3004.7,1012,1018,,2.969,3.94
8,8266785418,Morning Run,2022-12-19,Run,4013.3,1360,1363,,2.951,3.78
9,8266785401,Lunch Run,2022-12-12,Run,2006.2,608,611,,3.3,5.1
10,8266778332,Evening Workout,2022-12-03,Workout,0.0,2099,2099,,0.0,0.0
11,8266778344,Evening Workout,2022-11-29,Workout,0.0,1220,1220,,0.0,0.0
12,8158673564,Morning Run,2022-11-21,Run,1003.5,333,339,,3.013,4.26
13,8147514058,Morning Run,2022-11-21,Run,2151.6,736,739,,2.923,4.3
14,8147514025,Morning Run,2022-11-11,Run,3016.9,1057,1063,,2.854,3.558
15,7995782612,Morning Run,2022-10-21,Run,2006.1,576,582,,3.483,4.82
16,7988969388,Evening Run,2022-10-19,Run,5007.0,1682,1685,,2.977,3.84
17,7860835369,Evening Run,2022-09-24,Run,5007.3,1653,1656,,3.029,3.9
18,7814085849,Night Workout,2022-09-14,Workout,0.0,2261,2261,,0.0,0.0
19,7802777201,Evening Run,2022-09-13,Run,2220.9,1046,1164,,2.123,8.34
20,7778512020,Morning Run,2022-09-09,Run,3516.4,1229,1235,,2.861,4.0
21,7760622500,Night Workout,2022-09-05,Workout,0.0,1636,1636,,0.0,0.0
22,7760622486,Night Workout,2022-09-05,Workout,0.0,593,593,,0.0,0.0
23,7694671519,Evening Run,2022-08-24,Run,2098.5,672,675,,3.123,5.86
24,7671484113,Afternoon Run,2022-08-20,Run,5007.9,1776,1782,,2.82,4.2
25,7671484067,Night Run,2022-08-17,Run,98.8,16,16,,6.175,7.04
26,7671484057,Evening Run,2022-08-17,Run,544.2,154,154,,3.534,5.378
27,7655162672,Evening Run,2022-08-17,Run,533.3,133,136,,4.01,5.62
28,7590542150,Night Workout,2022-08-05,Workout,0.0,1029,1029,,0.0,0.0
29,7560011851,Evening Run,2022-07-28,Run,3384.0,1193,1201,,2.837,6.46
30,7441351767,Evening Run,2022-07-09,Run,3005.2,1038,1041,,2.895,3.2
31,7431262857,Evening Run,2022-07-07,Run,4019.2,1318,1321,,3.049,4.06
32,7407159133,Morning Run,2022-07-03,Run,5003.2,1878,1884,,2.664,3.74
33,7404192436,Evening Run,2022-07-02,Run,4010.5,1340,1346,,2.993,4.02
34,7386026668,Morning Run,2022-06-29,Run,5003.1,1764,1780,,2.836,4.58
